,File Name,Position,salary_start,salary_end,opendate,requirements,duties,deadline,selection,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EDUCATION_YEARS,SCHOOL_TYPE
140,COMMUNICATIONS ENGINEERING ASSOCIATE 7607 081018.txt,communications engineering associate,"66,231","$96,841",2018-08-10,"1. Graduation from an accredited four-year college or university with a major in engineering, which includes at least 24 semester units or 36 quarter units of communications engineering or electrical engineering courses; or2. Possession of a valid Engineer-in-Training Certificate (EIT) recognized by the California State Board of Registration for Professional Engineers.","A Communications Engineering Associate performs professional communications engineering work in the preparation of plans, designs, specifications, estimates, studies, reports, and cost and service analyses for the City's communications systems; gives technical direction in the construction, installation, maintenance, and operation of Local Area Network (LAN), Wide Area Network (WAN), other communications systems and equipment such as security systems, IT cable infrastructure, radio, audio/video, telephone, microwave; and does related work.","AUGUST 23, 2018",['Interview'],,,four,College or University
141,COMMUNICATIONS INFORMATION REPRESENTATIVE 1461 101317 Revised.txt,communications information representative,"41,697","$59,340",2017-10-13,"1. One year of full-time paid experience in a customer service call center environment responding to telephonic and/or electronic inquiries and processing requests for service or providing information to customers; and2. One year of full-time paid office clerical experience; and3. Graduation from a U.S. high school, G.E.D. or equivalent from a U.S. institution, or a California High School Proficiency Examination (CHSPE) certificate.",A Communications Information Representative operates a central voice telephone communication system or a two-way radio console; responds to incoming calls and email messages from the public; routes telephone calls to the proper station; monitors and dispatches personnel via radio; enters and retrieves information from a computer based system; relays messages received orally and in writing; places long distance and/or operator assisted calls; and does incidental clerical work.NOTE:Communications Information Representatives may be required to work in various locations and/or on various shifts.,"OCTOBER 24, 2017","['Exercise', 'Interview']",One,FULL_TIME,,
142,COMMUNITY AFFAIRS ADVOCATE  111414.txt,community affairs advocate,"105,966","$131,648",2014-11-14,"1. Current employment with the City of Los Angeles, and2. A graduate degree from a recognized college or university in Urban Planning, and3. Six years of full-time paid professional experience overseeing a department or division performing duties in community advocacy or community/public outreach concerning sustainable development or the development of educational, communication, or community programs at the local, state or national level.","Liaison or community relations advocate to community groups, local civic officers and elected officials to foster partnerships with a diverse range of community interest groups to resolve problems and provide equitable services; develops and manages programs to enhance the effectiveness of the department's relationship with community, industry, political, and business stakeholders, as well as potential private donors.","NOVEMBER 24, 2014",['Evaluation'],Six,FULL_TIME,,
143,COMMUNITY HOUSING PROGRAMS MANAGER 8500 072018 REV 080918 (2).txt,community housing programs manager,"101,664","$148,665",2018-07-20,"Four years of full-time paid housing rehabilitation or production experience, at the level of Rehabilitation Project Coordinator, supervising employees administering a public or private housing rehabilitation, housing production, real estate or real estate financing program relating to community based housing programs.","A Community Housing Programs Manager plans, organizes, and directs the activities of a large staff engaged in the administrative, financial, and construction aspects of a grant-funded housing rehabilitation or production program; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","AUGUST 16, 2018",['Interview'],Four,FULL_TIME,,
144,COMMUNITY PROGRAM ASSISTANT 2501 062218.txt,community program assistant,"49,903","$72,996",2018-06-22,"1. Graduation from an accredited four year college or university and one year of full-time paid experience coordinating, developing and implementing adult or K-12 literacy programs, community organizing events, social services, senior services, community services, counseling, job training and employment programs, youth development, child development, gang prevention or education programs; or2. Five years of full-time paid experience coordinating, developing and implementing adult or K-12 literacy programs, community organizing events, social services, senior services, community services, counseling, job training and employment programs, youth development, child development, gang prevention or education programs.","A Community Program Assistant informs, assists, organizes and counsels members of the community on a variety of programs and services in the areas of social services, senior services, education, training, youth development, employment and counseling; networks with the public, local businesses and other public agencies to support and augment community based programs; prepares reports; may make presentations to the Mayor, City Council and City Departments; and performs other related work.","JULY 5, 2018","['Essay', 'Interview']",one,FULL_TIME,four,College or University
145,COMPLIANCE PROGRAM MANAGER 9165 111618.txt,compliance program manager ,"90,640","$132,546",2018-11-16,"1. Two years of full-time paid experience at the level of Senior Management Analyst developing, implementing and monitoring departmental or organization-wide programs designed to ensure compliance with labor laws, affirmative action, and business diversity policies, rules and regulations, contract and/or employer related City ordinances; or2. Five years of full-time paid professional experience with the City of Los Angeles developing, implementing, and monitoring departmental or organization-wide programs designed to ensure compliance with labor laws, affirmative action, and business diversity policies, rules and regulations, contract and/or employer related City ordinances.","A Compliance Program Manager plans, organizes and directs the work of a large staff of professional, paraprofessional and administrative employees in the Department of Public Works, Bureau of Contract Administration, who provide a variety of compliance services and enforcement activities, which includes reviewing contractor or business applications and bid proposals, conducting field audits and investigations, analyzing payroll records, calculating wage restitutions and penalty assessments, negotiating settlement agreements to correct violations, administering contracts with consultants to support Bureau activities, managing citywide outreach efforts, and recommending approval or denial of affirmative action plans, contract awards or penalties, and certification of businesses by applying consistent and objective criteria; applies supervisory principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities; and does related work.","NOVEMBER 29, 2018","['Essay', 'Interview']",Two,FULL_TIME,,
146,CONSTRUCTION AND MAINTENANCE SUPERINTENDENT 3129 082616 REV 090816.txt,construction and maintenance superintendent,"122,377","$197,670",2016-08-26,Three years of full-time paid experience with the City of Los Angeles as a Construction and Maintenance Supervisor or in a class at that level as a second-level full-time supervisor of journey-level workers in general construction or maintenance work.,"A Construction and Maintenance Superintendent plans, organizes, directs, and reviews through subordinate supervisors the work of a large group of employees engaged in construction and maintenance activities; is responsible for large construction projects and maintenance programs, and the development, review, implementation, and management of training and safety programs; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","SEPTEMBER 15, 2016","['Essay', 'Interview']",Three,FULL_TIME,,
147,CONSTRUCTION AND MAINTENANCE SUPERVISOR 3127 030416.txt,construction and maintenance supervisor,"114,485",,2016-03-04,1. Two years of full-time paid experience in a class at the level of Carpenter Supervisor supervising a crew doing construction work; or2. Three years of full-time paid experience as a Labor Supervisor with the City of Los Angeles; or3. Three years of full-time paid experience in a class at the level of Mechanical Repair Supervisor supervising a crew installing and repairing equipment as part of construction work.,"A Construction and Maintenance Supervisor assigns, reviews and evaluates the work of field crews made up of craft and Labor Supervisors, journey-level workers, equipment operators, helpers, and laborers engaged in varied construction and maintenance work; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.","MARCH 17, 2016",['Interview'],Two,FULL_TIME,,
148,CONSTRUCTION EQUIPMENT SERVICE WORKER 3541  012618.txt,construction equipment service worker,"42,741","$60,823",2018-01-26,"1. One year of full-time paid experience in servicing and lubricating construction vehicles exclusively; or2. Two years of full-time paid experience in servicing and lubricating a combination of ALL of the following: cars, trucks and construction vehicles.","A Construction Equipment Service Worker fuels, lubricates, cleans and performs other non-repair servicing on construction and transportation equipment in a shop or from a service truck in the field; services a wide variety of heavy duty track-laying and heavy wheeled vehicles in yards and at construction sites; or may serve as an apprentice in one of the automotive crafts.","FEBRUARY 8, 2018",['Test'],One,FULL_TIME,,
149,CONSTRUCTION ESTIMATOR 3341 070816 REVISED 072116 (1).txt,construction estimator,"70,428","$102,980",2016-07-08,"1.Two years of full-time paid experience in building estimating, building inspection, general contracting, professional architecture, or professional engineering; and2.Two years of full-time paid experience in making cost and quantity estimates for type I, II, III, IV, and V buildings under the Uniform Building Code or the Los Angeles City Building Code.Education at an accredited college or university in civil, structural or construction engineering, or in architecture at the rate of 30 semester or 45 quarter units may be substituted on a year for year basis for the experience specified in Requirement #1.","A Construction Estimator creates cost estimates for labor, material, and equipment based on conceptual, preliminary, or detailed designs for the construction, alteration, rehabilitation and maintenance of projects that may include civil, structural, and architectural disciplines for any of the structures and facilities owned and/or operated by the City. A construction estimator may be required to process Requests for Information, and Change Order Estimates when necessary.","JULY 28, 2016","['Essay', 'Interview']",Two,FULL_TIME,,
150,CONSTRUCTION INSPECTOR 7291 042117.txt,construction inspector,"80,283","$97,092",2017-04-21,"1. One year of full-time paid experience as a City of Los Angeles Assistant Inspector IV with the Department of Public Works, Bureau of Contract Administration; or2. Three years of full-time paid experience in inspection or construction supervision of commercial or public works projects; or3. Four years of full-time paid experience as a member of a survey crew performing commercial or public works construction surveying; or4. Six years of full-time paid experience in a construction trade working on commercial or public works projects; or5. Four years of full-time paid experience as a drafting technician or an engineering designer involved in the design of commercial or public works projects; or6. Four years of full-time paid experience in materials testing or construction management on commercial or public works projects; or7. Completion of 60 semester or 90 quarter units from an accredited college or university with at least 12 semester or 18 quarter units in any of the following areas: engineering; construction; design; building inspection technology; construction inspection; public works construction; architectural drafting; geology; civil, mechanical, electrical, or fire protection engineering technology; math; or physics, and two years of full-time paid experience working on commercial or public works projects; or8. Completion of a recognized four-year apprenticeship and two years of full-time paid experience working on commercial or public works projects.","A Construction Inspector inspects the construction of a wide variety of public works, public improvements, or public utilities projects to ensure conformance to plans, specifications, contracts, permits, environmental documents, agreements for work, and may provide construction inspection support.",,['Questionnaire'],One,FULL_TIME,,
151,CONTRACT ADMINISTRATOR 9168 031017.txt,contract administrator ,"102,729","$150,210",2017-03-10,"1. Two years of full-time paid professional architectural or landscape architectural experience at the level of Architect or Landscape Architect, one year of which includes continuing responsibility for the development, negotiation, and enforcement of design and construction contracts to implement capital improvement programs; or2. Four years of full-time paid professional architectural or landscape architectural experience as an Architectural Associate IV or Landscape Architectural Associate IV with the City of Los Angeles, two years of which includes continuing responsibility for the development, negotiation, and enforcement of design and construction contracts to implement capital improvement programs.","A Contract Administrator supervises professional employees engaged in the development, negotiation, preparation, and enforcement of contracts for the design and construction of municipal recreational facilities and public improvement projects for the City of Los Angeles; applies sound supervisory principles and training techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities. ","MARCH 23, 2017",['Essay'],Two,FULL_TIME,,
152,CONTROL SYSTEMS ENGINEERING ASSOCIATE 7230 090817 (1).txt,control systems engineering associate,"64,456","$94,252",2017-09-08,"1. A Bachelor's or Master's degree in engineering from an accredited college or university, which includes 18 semester units or 27 quarter units of Electrical Engineering courses or 12 semester units or 18 quarter units of Chemical or Environmental Engineering course work; and completion of 6 semester units or 9 quarter units of control systems courses; or2. Certification as an Engineer-In-Training recognized by the State of California Board for Professional Engineers, Land Surveyors, and Geologists; or3. Registration as a Professional Engineer with the State of California Board for Professional Engineers, Land Surveyors, and Geologists.","A Control Systems Engineering Associate develops, designs, selects and evaluates instrumentation and process control systems for the automatic control of a variety of dynamic processes; may supervise employees engaged in the above work; and performs related work.","SEPTEMBER 21, 2017",['Interview'],,,,
153,CORRECTIONAL NURSE 2317 101615.txt,correctional nurse                                           ,"65,250",,2015-10-16,"1.A valid Registered Nurse license issued by the California Board of Registered Nursing; and2.One year of full-time paid professional nursing experience working in Correctional Care, Critical Care, Emergency Department, Medical-Surgical, or Ambulatory Care Clinic.",A Correctional Nurse performs professional nursing services to arrestees/prisoners in City jails. Duties performed include the following:  utilizing protocols in the provision of care; assisting the medical staff with patient evaluations and treatment; performing phlebotomy for forensic purposes; independently obtaining patient histories and performing patient assessments; performing focused physical examinations; performing diagnostic testing such as EKGs and urinalysis; providing emergency care and performing CPR; conducting sick call rounds; assisting with procedures; creating and maintaining medical records; collecting and documenting work statistics; testifying in court proceedings; may act as lead nurse on an individual shift; and does related work.,,['Questionnaire'],One,FULL_TIME,,
154,CRIME AND INTELLIGENCE ANALYST  2236  062918.txt,crime and intelligence analyst ,"59,487","$86,965",2018-06-29,"1. Two years of full-time paid professional experience in a class at the level of Management Assistant performing duties in researching, compiling, and analyzing crime trends and patterns in a law enforcement agency; or2. Graduation from an accredited four-year college or university and completion of a Certificate Program in Crime and Intelligence Analysis from an accredited college or university. ","A Crime and Intelligence Analyst researches, compiles, analyzes, and maps crime trends and patterns; disseminates information related to criminal activity; assists patrol, investigative, and administrative staff in planning the deployment of resources for the prevention, intervention, and suppression of criminal activities; acts as liaison to all Los Angeles Police Department and neighboring law enforcement Crime Analysis Details; may act as lead analyst; and performs related work.","JULY 12, 2018",['Questionnaire'],Two,FULL_TIME,four,College or University
155,CRIMINALIST 2234 030918.txt,criminalist,"65,584","$95,901",2018-03-09,Graduation from an accredited four-year college or university with a major in a physical or natural science and successful completion of 8 semester or 12 quarter units in general chemistry.  ,"A Criminalist searches for, collects and preserves physical evidence in the investigation of crime and suspected criminals; examines evidence by means of physical and chemical analyses; prepares reports of findings; and gives expert testimony in court.  At the highest pay grade, performs analyses of physical and chemical evidence of a nonroutine nature requiring advanced technology; and may serve as a lead worker by providing training and supervision to criminalists working in a specialized field.A Criminalist is subject to call at any hour and may work under unpleasant and adverse conditions, including high places, dangerous locations, and in proximity to dead bodies and biological and chemical hazards, in order to investigate crime scenes.",,"['Test', 'Questionnaire']",,,four,College or University
156,CUSTODIAN 3156 111618.txt,custodian ,"31,173","$45,560",2018-11-16,"1. Current employment with the City of Los Angeles; and2. At least six months of full-time paid experience with the City of Los Angeles performing duties involving cleaning and janitorial tasks in City buildings; and3. A letter of recommendation from the personnel office of the employing department where training was received, which includes a statement of the department's willingness to hire the employee as a Custodian. The letter must be attached to the application at the time of filing.",A Custodian performs a variety of cleaning and janitorial tasks in City buildings. ,,[],,,,
157,CUSTODIAN SUPERVISOR 3176 042817 051117 REV.txt,custodian supervisor,"36,477","$51,907",2017-04-28,"  1. Four years of full-time paid custodial experience with the City of Los Angeles at the level of Custodian with two of the four years working as a lead or supervisor of a crew engaged in custodial work; or2. Four years of full-time paid custodial experience, which includes:a. One year performing floor care maintenance activities; andb. Two years supervising custodial employees.","A Custodian Supervisor assigns, reviews and evaluates the work of one or more groups of custodial employees engaged in a variety of cleaning and custodial tasks in City buildings, creates memorandums and supervisory paperwork on computers, communicates effectively via verbal, written and electronic formats, applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities. ","MAY 18, 2017",['Written'],Four,FULL_TIME,,
158,CUSTOMER SERVICE REPRESENTATIVE 1230 020918.txt,customer service representative,"57,148","$71,012",2018-02-09,"Two years of full time paid experience processing customer requests for service and providing information to customers regarding accounts or specialized programs either in-person or through the telephone or Internet; or performing specialized work in various aspects of customer billing and collection, including data entry, customer account research and resolution, and the use of personal computers to make necessary input/adjustment transactions.","A Customer Service Representative has direct public contact including in-person transactions; use of the telephone and Internet to receive customer requests for service; provide information and respond in writing to customers of the Department of Water and Power regarding accounts and department programs; performs specialized work in various aspects of customer billing and collection of delinquent accounts, including the use of personal computers to make necessary input/adjustment transactions; and does related work.","FEBRUARY 20, 2018","['Test', 'Interview']",Two,FULL_TIME,,
159,CUSTOMER SERVICE SPECIALIST 1229 101218.txt,customer service specialist,"50,237","$73,476",2018-10-12,"1. Two years of full-time paid call center operation or direct customer service experience, responding to customer inquiries in person, telephonically, via e-mail, or through on-line chat activities; or2. Six months of full-time or 960 cumulative hours paid experience with the City of Los Angeles Office of Finance at the level of a Tax Renewal Assistant directly handling or providing clerical support for processing business tax billings or payments, and 3. Completion of a four week Business Tax Ordinance class provided by the City of Los Angeles Office of Finance. ","A Customer Service Specialist performs specialized business tax, licenses, and permits work, involving cashiering, various aspects of processing and reviewing customer requests for service, billing questions and resolutions, as well as service complaints, responding to the public's concerns and requests for information on City business tax and associated permits, Lifeline exemptions and reductions, ordinances, rules, regulations, and policies, including the use of a computer terminal for inputting requests, reviewing billing information, and following up on requests; and does related work.","DECEMBER 1, 2018","['Test', 'Interview']",Two,FULL_TIME,,
160,DATA PROCESSING TECHNICIAN 1136 051217.txt,data processing technician,"43,639","$63,809",2017-05-12,"1. Two years of full-time paid experience as a Data Entry Operator with the City of Los Angeles; or2. Two years of full-time paid experience in the processing and controlling of computer-based information systems, or in the documenting of information systems requirements and procedures.","A Data Processing Technician coordinates and controls jobs processed by computer systems; reviews, prepares, verifies, and coordinates establishment of systems documentation; maintains technical publications and documentation in library; may act as tape librarian and may operate support data processing equipment in a centralized data processing facility; and administers software products.","MAY 25, 2017",['Test'],Two,FULL_TIME,,
161,DATABASE ARCHITECT 1470 083118.txt,database architect,"97,781","$142,944",2018-08-31,"1. A bachelor's degree from an accredited four-year college or university in information systems, software engineering, computer engineering, computer science, or a related field; AND EITHER2. Two years of full-time paid experience installing, administering, tuning, and maintaining databases in a medium to large scale production environment in one of the following database platforms: Oracle, DB2, or SQL Server, in a position at the level of Senior Systems Analyst I, Systems Programmer I, or Programmer Analyst IV with the City of Los Angeles; OR3. Two years of full-time paid experience as a database architect or database administrator in the information technology industry installing, administering, tuning, and maintaining medium to large scale production databases in one of the following database platforms: Oracle, DB2, or SQL Server. A DBA professional certification in one of the following databases may be substituted for up to one year of the required experience:a. Oracle Database, version 10g or higher - Any operating system, Oracle Certified Professional (OCP)b. DB2 Universal Database, version 8 or higher - Any operating system, IBM Certified Database Administratorc. Microsoft SQL Server version 2005 or higher - Microsoft Certified Database Administrator (MCDBA)","A Database Architect performs technical and administrative work in the development of standards, methods, techniques, procedures, data analyses, data designs, and database implementations necessary for the productive use, integration, sharing, standardization, integrity, security, availability, maintenance and operation of the City's electronic databases and assists in the overall management of the electronic databases; installs and configures database software and related administration tools and utilities; develops and implements production scripts for database maintenance tasks; designs, develops and implements databases; enforces databases integrity; monitors and tunes database performance; tunes and optimizes SQL statements and database/system parameters; develops and conducts training; utilizes database tools to perform various types of database backups and recoveries; ensures database security and compliance with SB1386 or data privacy acts; researches current database issues and technologies; assist application developer to apply sound database technology to new application; may supervise other technical employees in the performance of this work; and performs related duties.","SEPTEMBER 13, 2018",[],Two,FULL_TIME,four,College or University
162,DECK HAND 5131 093016.txt,deck hand,"60,823",,2016-09-30,"Two years of full-time (or 4,160 hours) paid experience as a deck hand on a motor vessel.",A Deck Hand performs deck work and operates the helm on a motor vessel and other related duties.,"OCTOBER 13, 2016",['Test'],Two,FULL_TIME,,
163,DELIVERY DRIVER 1121 032318.txt,delivery driver,"36,519","$53,390",2018-03-23,"1. Current paid employment with the City of Los Angeles; and2. One year full-time paid experience driving a vehicle performing pick-up and delivery of mail, supplies, parcels, or equipment from other parties.","A Delivery Driver operates a City automobile, station wagon, van, pickup truck, or other light vehicle as a major assignment in delivering and picking up mail, supplies, and department materials; may collect water samples from designated locations for use in laboratory tests; keeps routine records and prepares routine reports; performs routine clerical, messenger, or stockroom duties part of the time.","APRIL 5, 2018",[],,,,
164,DEPARTMENTAL CHIEF ACCOUNTANT 1593 111717 revised 11.21.txt,departmental chief accountant,"91,913","$130,771",2017-11-17,"Two years of full-time paid professional accounting experience in a class at the level of Principal Accountant with the City of Los Angeles, directing the work of a professional accounting or auditing staff.","A Departmental Chief Accountant plans and directs the commercial and governmental accounting activities for a City department, including such areas as auditing, billing, collections, cash management, investing, cost accounting, accrual accounting, grant accounting, financial report preparation and analysis, and bond financing for capital construction; or assists in planning and directing this work; guides and directs staff in the implementation and application of financial systems; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","NOVEMBER 30, 2017",['Essay'],Two,FULL_TIME,,
165,DETENTION OFFICER 3211 113018.txt,detention officer ,"46,625","$70,052",2018-11-30,"1. Graduation from a high school or the equivalent as established by the G.E.D. test; and2. Six months of full time paid experience as a law enforcement officer, correctional officer, traffic officer, park ranger, security guard, or security officer which provides experience safeguarding objects, materials, or people; or3. Six months of experience as a police explorer, police cadet, police aide, Police Student Worker (with the City of Los Angeles), or Associate Community Officer (formerly Community Police Aide; with the City of Los Angeles); or4. Six months of full-time service, with satisfactory performance, in the United States Armed Forces or one year as a reservist in the United States Armed Forces or as a member of the National Guard, with satisfactory performance that includes completion of basic training and military school; or5. Completion of 12 semester or 18 quarter units from an accredited college or university; or6. Completion of the Los Angeles Police Academy Magnet Program or completion of the Police Orientation & Preparation Program (POPP).7. Current employment as a Police Officer I with the City of Los Angeles, not having completed the Los Angeles Police Academy.","A Detention Officer is an unarmed civilian employee of the Police Department who processes arrestees, including booking, fingerprinting, and maintaining custody and control.  ALL positions include duties, which require the ability to type using a computer keyboard.",,"['Test', 'Questionnaire']",,,,
166,DIRECTOR OF AIRPORT MARKETING 1768 042718.txt,director of airport marketing,"123,066","$179,943",2018-04-27,"1. A Bachelor's Degree from an accredited college or university; and2. Four years of full-time paid professional experience in the development and implementation of air service related marketing, or managing logistics and the organization of trade shows or marketing events for a large organization; or overseeing projects and making recommendations to a board or commission which approves event use, renovations, tours, projects or related development or marketing activities.Appointment to a position in this class is subject to a one-year probationary period under the provisions of Section 1011 of the City Charter.","The Director of Airport Marketing directs professional staff in the development and implementation of an overall marketing strategy and comprehensive advertising program to increase international and domestic business opportunities to Los Angeles World Airports (LAWA); and supervise professional staff engaged in activities designed to attract and retain new business ventures to Los Angeles World Airports. An incumbent develops and implements a strategic marketing plan to guide all aspects of marketing efforts; drives strategy and executive marketing initiatives for LAX brand awareness, new projects, status updates, and rebranding campaigns; applies sound management principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities; may personally perform marketing duties, and does related work.","MAY 10, 2018",['Interview'],Four,FULL_TIME,,
167,DIRECTOR OF AIRPORT OPERATIONS 9304 062317 (3).txt,director of airport operations,"141,858","$201,867",2017-06-23,"1. Current employment with the City of Los Angeles; and2. Four years of full-time paid experience at the level of Airport Manager with the City of Los Angeles, responsible for a major function of airport operations; or3. For qualifying experience gained outside the City of Los Angeles, five years of full-time paid experience as a director responsible for a major function of airport operations at a large commercial service airport as defined by the Federal Aviation Administration.","A Director of Airport Operations plans, coordinates and directs through subordinate managers, the Los Angeles International Airport ground operations, including the use of airport facilities, law enforcement and construction and maintenance; participates in planning and coordinating modifications to airport facilities to accommodate airport tenants and passengers; and applies sound supervisory principles and techniques in building and maintaining an effective work force.","JULY 6, 2017",['Questionnaire'],Four,FULL_TIME,,
168,DIRECTOR OF AIRPORTS ADMINISTRATION 9302 012717.txt,director of airports administrationrevised,"141,859","$201,868",2017-01-27,"1. Two years of full-time paid experience with the City of Los Angeles at the level of Chief Management Analyst supervising staff engaged in human resources management; budget and financial planning; RFP and contract development, review and administration; or airport operations; or 2. Three years of full-time paid experience with the City of Los Angeles, Department of Airports at the level of Senior Management Analyst II supervising staff engaged in human resources management; budget and financial planning; RFP and contract development, review and administration; or airport operations; or3. Three years of full-time paid experience with the City of Los Angeles, Department of Airports as an Executive Assistant Airports, representing Airport executive management on operational, administrative, or community relations issues.","Plans, directs, and coordinates the administrative activities of the Department of Airports.","FEBRUARY 9, 2017",['Questionnaire'],Two,FULL_TIME,,
169,DIRECTOR OF COMMUNICATIONS SERVICES 7625 042718.txt,director of communications services,"123,066","$179,943",2018-04-27,"1. Four years of full-time paid experience at the level of Communications Engineer managing the design, installation, or maintenance of data, voice and video infrastructure, or communications systems for an agency with a minimum of 1,000 employees; or2. Four years of full-time paid experience as a Senior Communications Electrician Supervisor with the City of Los Angeles.","The Director of Communications Services directs, supervises, and coordinates the operations of a major division involved in the planning, design, construction, installation, operation, and maintenance of municipal communications systems.","MAY 10, 2018","['Essay', 'Interview']",Four,FULL_TIME,,
170,DIRECTOR OF ENFORCEMENT OPERATIONS 4266 012618.txt,director of enforcement operations,"123,066","$179,943",2018-01-26,"1. Graduation from an accredited four-year college or university and two years of full-time paid professional experience supervising professional staff engaged in any of the following areas:  the management and administration of a housing habitability enforcement program or the management and administration of a rent stabilization/rent control program; or2. Two years of full-time paid professional experience as an attorney which provides experience in civil or criminal enforcement actions related to housing habitability matters or rent stabilization/rent control matters; or3. Two years of full-time paid experience with the City of Los Angeles, as a Chief Inspector or in a position at the level of a Senior Management Analyst II responsible for overseeing the operations of a Code Enforcement Program or Rent Stabilization Program. ","A Director of Enforcement Operations plans, coordinates, and directs or assists in directing the activities of a Division which is responsible for carrying out the City's systematic and complaint inspection programs, rent stabilization programs, and habitability enforcement programs; or the development and direction of specialized housing programs; oversees administrative and budgetary matters of the Division; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","FEBRUARY 8, 2018",['Interview'],two,FULL_TIME,four,College or University
171,DIRECTOR OF FIELD OPERATIONS 4321 040618.txt,director of field operations         ,"101,831","$148,853",2018-04-06,"1. Three years of full-time paid experience with the City of Los Angeles as a Senior Animal Control Officer; or2. Five years of full-time paid experience with the City of Los Angeles as an Animal Care Technician Supervisor; or3. Three years of full-time paid experience supervising staff engaged in enforcing laws and regulations, or ordinances for a public agency, or enforcing animal regulations; or4. Three years of full-time paid experience managing an animal shelter.","The Director of Field Operations plans, directs, and coordinates the activities of the Animal Care and/or Enforcement Division of the Department of Animal Services, including enforcement of animal regulation laws, supervision of animal control services, field licensing, and district animal shelter operation; performs related administrative, personnel, and budgetary duties; fulfills equal employment opportunity responsibilities; and applies sound supervisory principles and techniques in building and maintaining an effective work force.","APRIL 19, 2018",['Interview'],Three,FULL_TIME,,
172,DIRECTOR OF HOUSING 1568 062317.txt,director of housing,"120,644","$171,654",2017-06-23,"Two years of full-time paid professional experience at the level of Community Housing Programs Manager which provides experience in the supervision of professional staff engaged in the administration of a government or private housing development, home ownership, development finance, asset management, occupancy monitoring, or rehabilitation program.","A Director of Housing plans, directs and coordinates a large staff of professional, technical, skilled crafts, paraprofessional, and clerical employees engaged in the administration of the City's affordable housing development, home ownership, strategic planning and policy, and housing rehabilitation programs; applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.","JULY 6, 2017",['Interview'],Two,FULL_TIME,,
173,DIRECTOR OF MAINTENANCE AIRPORTS 7270 041516.txt,director of maintenance airports,"108,576","$154,512",2016-04-15,"Two years of full-time paid experience as an Airports Maintenance Superintendent, or in a position which is at that level, as a second-level full-time supervisor of journey-level craft workers in construction, building maintenance, street maintenance or equipment repair.","A Director of Maintenance Airports directs, or assists in the direction of comprehensive maintenance including remodeling, repair, rehabilitation, and force account construction programs involving airports operated by the Los Angeles World Airports. The responsibilities include managing the maintenance of buildings, field facilities, utility systems, custodial services, fleet operation, waste management, and equipment; applies sound managerial principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","APRIL 28, 2016","['Essay', 'Interview']",Two,FULL_TIME,,
174,DIRECTOR OF POLICE TRANSPORTATION 3722 061915.txt,director of police transportation,"100,370","$124,695",2015-06-19,"1. One year of full-time paid experience with the City of Los Angeles in a class at the level of General Automotive Supervisor directing, coordinating, and supervising the activities of an operation engaged in the maintenance and repair of transportation and/or construction equipment; or2. Two years of full-time paid experience with the City of Los Angeles as a Senior Automotive Supervisor.NOTES:  1. Applicants who lack six months or less of the above experience may file for this examination.  However, they cannot be appointed until the full experience requirement is met. 2. A valid California's driver's license is required. Applicants will be disqualified and not eligible for hire if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).WHERE TO APPLYApplications will only be accepted on-line. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. On-line job bulletins are also available at http://agency.governmentjobs.com/lacity/default.cfm?promotionaljobs=1 for Promotional Examinations.","A Director of Police Transportation plans, organizes and directs, through subordinate supervisors, the work of fleet management and maintenance personnel engaged in the operation, maintenance, repair and assignment of transportation equipment for the Los Angeles Police Department; makes recommendations for the acquisition and disposition of transportation supplies and equipment; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","JULY 2, 2015",[],One,FULL_TIME,,
